stations_id,stationsname,bundesland,mess_datum,mess_datum_beginn,mess_datum_ende,bedeckungsgrad,lufttemperatur,lufttemperatur_max,lufttemperatur_min,windstaerke,sonnenscheindauer,windspitze,lufttemperatur_absmax,lufttemperatur_absmin,niederschlagshoehe,niederschlagshoehe_max,schneehoehe_neu,schneehoehe,sturm_6bft,sturm_8bft,gewitter,glatteis,graupel,hagel,nebel,tau,stationshoehe,geobreite,geolaenge
164,Angermuende,Brandenburg,2006-01-15,20060101,20061231,5.18,9.69,13.93,5.42,2.52,1831.7,25,35.2,-18.5,388.1,24.9,40,259,27,0,27,37,20,2,47,230,54,53.0316,13.9908
164,Angermuende,Brandenburg,2007-01-15,20070101,20071231,5.38,10.01,14.17,5.9,2.77,1649.4,29.8,35.7,-10.5,714.4,52.8,26,58,51,3,30,7,8,1,24,242,54,53.0316,13.9908
164,Angermuende,Brandenburg,2008-01-15,20080101,20081231,5.43,9.92,14.1,5.73,2.69,1621.5,31.9,33.4,-8.2,513.8,23.4,6,7,40,3,10,9,8,0,29,208,54,53.0316,13.9908
164,Angermuende,Brandenburg,2009-01-15,20090101,20091231,5.36,9.13,13.37,4.96,2.6,1768.7,23.3,30.2,-17.7,610.8,44.8,56,227,26,0,28,38,13,0,49,220,54,53.0316,13.9908
164,Angermuende,Brandenburg,2010-01-15,20100101,20101231,5.7,7.84,11.76,3.75,2.63,1552.7,21,35.6,-22,669.1,42,168,1793,21,0,18,39,20,0,49,208,54,53.0316,13.9908
164,Angermuende,Brandenburg,2011-01-15,20110101,20111231,5,9.63,14.16,5.33,2.67,1880.4,NA,31.9,-14.2,590.7,53.9,3,115,29,1,26,22,10,1,47,239,54,53.0316,13.9908
164,Angermuende,Brandenburg,2012-01-15,20120101,20121231,5.51,9.11,13.38,4.87,2.7,1694.8,22.9,33.4,-21.1,543.1,30.8,44,212,33,0,25,13,14,2,49,226,54,53.0316,13.9908
164,Angermuende,Brandenburg,2013-01-15,20130101,20131231,5.74,9,13.1,4.9,2.56,1586.1,23.6,34.3,-15.2,483.2,35.7,77,515,18,0,19,16,22,1,36,206,54,53.0316,13.9908
164,Angermuende,Brandenburg,2014-01-15,20140101,20141231,5.48,10.36,14.89,6.11,2.55,1746.2,27.9,34.3,-15.7,404.4,33.7,8,37,24,1,28,10,8,0,62,264,54,53.0316,13.9908
164,Angermuende,Brandenburg,2015-01-15,20150101,20151231,5.28,10.07,14.75,5.47,2.7,1758.9,27.4,36.7,-7.4,426.6,17.5,9,48,42,1,29,9,8,0,41,218,54,53.0316,13.9908
164,Angermuende,Brandenburg,2016-01-15,NA,NA,NA,9.75,14.17,5.39,NA,1703.5,NA,33.8,-12.9,456.7,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,2017-01-15,NA,NA,NA,9.63,13.55,5.74,NA,1515.02,NA,31.1,-10.6,729.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,2018-01-15,NA,NA,NA,10.43,15.23,5.62,2.56,2113.69,25.3,35.9,-13.1,435.7,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,2019-01-15,NA,NA,NA,10.88,15.5,6.21,NA,1799.57,NA,37.3,-7.6,470.1,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,2020-01-15,NA,NA,NA,10.75,15.25,6.09,2.63,1864.46,25,36.1,-6.2,438.9,36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
183,Arkona,Mecklenburg-Vorpommern,1936-01-15,NA,NA,NA,8.19,NA,NA,NA,NA,NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1936-01-15,NA,NA,NA,8.19,NA,NA,NA,NA,NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1937-01-15,NA,NA,NA,8.43,NA,NA,NA,NA,NA,NA,NA,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1937-01-15,NA,NA,NA,8.43,NA,NA,NA,NA,NA,NA,NA,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1938-01-15,NA,NA,NA,9.23,NA,NA,NA,NA,NA,NA,NA,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1938-01-15,NA,NA,NA,9.23,NA,NA,NA,NA,NA,NA,NA,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1939-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1939-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1940-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1940-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1941-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1941-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
183,Arkona,Mecklenburg-Vorpommern,1942-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6791,13.4344
183,Arkona,Mecklenburg-Vorpommern,1942-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6792,13.4343
